ID,Area,Feature,User story,Expected behaviour (from code),Code reference,How tested,Baseline result,Errors found,Fix applied,Post-fix result,Status
WS-01,Workspace shell,Root opens Directory,"As an analyst, I want the bare URL to open the case register, so that I always land somewhere useful.",GET / forwards to /directory/ with history replaced (no extra back-stack entry).,frontend/src/app/sections.ts forward(); App.tsx Resolve,unit forwarding.test; browser,PASS: / → /directory/ replaced (one history entry),,,PASS (re-tested 2026-09-11),Passing
WS-02,Workspace shell,Pre-v2 slug forwarding,"As an analyst with old bookmarks, I want pre-v2 URLs to land on their new section with my query intact, so that links keep working.",Every slug in routes.json forwards (replace) to its section; query string kept; /issuers/profile renames ?id= to ?case=.,frontend/src/app/routes.json; sections.ts forward()/renamed(),unit forwarding.test; workbench navigation.spec; browser,"PASS: all 16 slugs forward, ?id→?case renamed, query kept",,,PASS (re-tested 2026-09-11),Passing
WS-03,Workspace shell,Trailing-slash tolerance,"As an analyst typing a URL, I want /book to reach /book/, so that a missing slash is not a dead end.",A section path without its trailing slash forwards to the same section; any other path does not forward.,sections.ts forward(),unit forwarding.test,PASS,,,PASS (re-tested 2026-09-11),Passing
WS-04,Workspace shell,Absent route is private-404,"As an analyst who mistypes a URL, I want one neutral answer, so that the app never reveals whether something exists.",Unknown path renders the rail and 'Unavailable or not permitted.'; case query carried into rail links; no forwarding.,App.tsx Absent; transport.ts UNAVAILABLE_WORDING,unit states.test; workbench navigation.spec; browser,"PASS: private-404 wording, case kept in rail links",,,PASS (re-tested 2026-09-11),Passing
WS-05,Workspace shell,Nine-section rail,"As an analyst, I want one rail listing all nine sections with a count and one-line state, so that I can see the whole case at a glance and move between sections.",Rail always lists the nine sections in IA order with count + state from chrome.rail; current section marked; a section with no entry renders 'off'.,frontend/src/chrome/Rail.tsx,unit chrome.test; workbench navigation.spec; browser,"PASS: nine sections, aria-current, state lines",,,PASS (re-tested 2026-09-11),Passing
WS-06,Workspace shell,Case travels between sections,"As an analyst, I want the open case to follow me when I change section, so that I never re-select it.",Every rail link carries ?case=<id> when a case is open (URL-encoded).,Workspace.tsx caseSearch; Rail.tsx,browser,PASS,,,PASS (re-tested 2026-09-11),Passing
WS-07,Workspace shell,Section-local rail group,"As an analyst, I want the section's own context (facets, revisions, frontier) under the rail, so that I see what the section is about.","rail_local renders its title and items (label, meta, 'on' marker) read-only below the nine sections.",Rail.tsx local,browser,FAIL: ERR-07,"ERR-07: Analysis 'Route frontier' (panel and rail) lists BLOCKED nodes and CP-MEMO, a module DECISIONS §14 does not place; the frontier is RUNNABLE + RESTRICTED (CONTEXT.md).","ERR-07: Analysis fixtures' frontier (panel and rail) are CP-6 RUNNABLE and CP-1C RESTRICTED only; supporting-research links name HOST, not CP-MEMO. Test: analysis 'the frontier is the nodes that may run now …'.","PASS (re-tested) — story checker, unit and workbench green",Fixed
WS-08,Workspace shell,Served role read-only,"As an analyst, I want to see the role I am served as, without a control to change it, so that I know persona grants nothing.","Served role 'Role · STANDING' shown in the rail foot as text, never a control.",frontend/src/chrome/ServedRole.tsx,unit chrome.test; workbench chrome.spec,PASS,,,PASS (re-tested 2026-09-11),Passing
WS-09,Workspace shell,Ask and Sign out in rail foot,"As an analyst, I want Ask scoped to what is on screen and a Sign out control, so that I know both exist and why they cannot act yet.","Two controls only: 'ASK · <section scope>' and 'SIGN OUT', visible and refused (aria-disabled) with a code and an accurate clears reason; click flashes the reason.",Rail.tsx railfoot; controls/RefusedControl.tsx,browser,FAIL: ERR-01,"ERR-01: Refusal reasons name build phases that have already exited ('Phase 2 admits…', 'Phase 5 places the provider', 'Phase 6 derives identity…', 'the backend phase that owns this action lands (docs/REBUILD_PLAN.md)'). All are false today and developer-facing: the store, provider and identity exist; what is missing is an HTTP route.","ERR-01: Every unplaced refusal now names the real blocker (READ_ONLY_API: 'this build's API serves only the run document and its event stream'); Rail Ask → ASK_UNPLACED, Sign out → SIGN_OUT_UNPLACED (the authenticating proxy owns sign-out). Tests: helpers/chrome/directory/upload 'names what clears it today'.","PASS (re-tested) — story checker, unit and workbench green",Fixed
WS-10,Workspace shell,Late responses discarded,"As an analyst switching cases quickly, I want a slow response for the case I left to be thrown away, so that I never read one case's numbers under another's name.","Each fetch carries (case, seq); only the latest ticket renders; a response for a left case is discarded.",frontend/src/app/authority.ts; Workspace.tsx load(),unit authority.test,"PASS: vitest 134/134; workbench 78/78 (3 engines); axe 189/189 entries, 0 violations (authority.test)",,,PASS (re-tested 2026-09-11),Passing
WS-11,Workspace shell,Live run tail refetches,"As an analyst watching a run, I want the section to refresh itself as run events arrive, so that states stay current without reloading.",An EventSource on /api/events; any known event name refetches the section; authority_changed marks the region stale; stream_end closes the stream.,frontend/src/app/sse.ts; Workspace.tsx,unit hooks.test; workbench run.spec/states.spec,PASS: frames advance CP-6 → COMPLETE,,,PASS (re-tested 2026-09-11),Passing
